,Unnamed: 0,nm_uf,nm_micro,lng,lat
75,75,CEARÁ,BATURITE,-38.822759998935204,-4.333412371961673
76,76,SAO PAULO,BAURU,-49.14281890929552,-22.223293212926173
77,77,RIO DE JANEIRO,BAIA DA ILHA GRANDE,-44.57202070365665,-23.17517499875348
78,78,MINAS GERAIS,BELO HORIZONTE,-44.073518019483735,-19.879893207848184
79,79,PARÁ,BELEM,-48.45583514907218,-1.3624955382011306
80,80,PIAUÍ,BERTOLINIA,-43.94116372679322,-7.535048194906539
81,81,TOCANTINS,BICO DO PAPAGAIO,-47.85977340342883,-5.849688717687258
82,82,SAO PAULO,BIRIGUI,-50.177674346061,-21.287573674617878
83,83,SANTA CATARINA,BLUMENAU,-49.24579080173847,-26.850942143609053
84,84,RORAIMA,BOA VISTA,-61.10246345009135,3.6964352557223212
85,85,AMAZONAS,BOCA DO ACRE,-67.37409012206864,-8.551948951003551
86,86,MINAS GERAIS,BOCAIUVA,-43.83728265710971,-17.263332555239835
87,87,MATO GROSSO DO SUL,BODOQUENA,-56.49536030987503,-21.41787775202684
88,88,MINAS GERAIS,BOM DESPACHO,-45.39162542186853,-19.672482699133546
89,89,BAHIA,BOM JESUS DA LAPA,-43.578904560679725,-13.469339192119568
90,90,SERGIPE,BOQUIM,-37.65638489156922,-11.247574759069783
91,91,BAHIA,BOQUIRA,-42.53955757605985,-12.606626729032078
92,92,RIO GRANDE DO NORTE,BORBOREMA POTIGUAR,-35.92649689953747,-6.219019903261902
93,93,SAO PAULO,BOTUCATU,-48.34057541507895,-22.93941931500904
94,94,PARÁ,BRAGANTINA,-47.05536856258829,-1.0991427308645303
95,95,SAO PAULO,BRAGANCA PAULISTA,-46.65277105554064,-23.07684516092253
96,96,ACRE,BRASILEIA,-68.89829594808775,-10.918985238622437
97,97,DISTRITO FEDERAL,BRASILIA,-47.83217851049576,-15.780997900316848
98,98,PARAÍBA,BREJO PARAIBANO,-35.667390555250776,-6.8986520306924906
99,99,PERNAMBUCO,BREJO PERNAMBUCANO,-35.923833109517176,-8.534255386721686
100,100,CEARÁ,BREJO SANTO,-38.995608386156825,-7.495042629529767
101,101,BAHIA,BRUMADO,-41.659914258558004,-14.509587700480392
102,102,RIO GRANDE DO SUL,CACHOEIRA DO SUL,-52.64919278891373,-30.00614739354569
103,103,ESPÍRITO SANTO,CACHOEIRO DE ITAPEMIRIM,-41.26064159363643,-20.83247193097821
104,104,RONDÔNIA,CACOAL,-61.59251155880317,-11.650295488341513
105,105,PARAÍBA,CAJAZEIRAS,-38.51381411677315,-6.751952599171269
106,106,RIO GRANDE DO SUL,CAMAQUA,-51.70059411876069,-30.68317002524175
107,107,PARÁ,CAMETA,-49.46730328237151,-2.3830839016959198
108,108,RIO GRANDE DO SUL,CAMPANHA CENTRAL,-54.62272609713628,-30.477299332084907
109,109,RIO GRANDE DO SUL,CAMPANHA MERIDIONAL,-54.14684947199429,-31.20930698014807
110,110,RIO GRANDE DO SUL,CAMPANHA OCIDENTAL,-56.11002473927329,-29.355246833525705
111,111,PARAÍBA,CAMPINA GRANDE,-35.90963917398849,-7.273333899825093
112,112,SAO PAULO,CAMPINAS,-47.17303983053198,-22.817802930663266
113,113,MINAS GERAIS,CAMPO BELO,-45.280239728222845,-20.95054274082505
114,114,MATO GROSSO DO SUL,CAMPO GRANDE,-54.790388772436025,-20.2077379545771
115,115,PIAUÍ,CAMPO MAIOR,-41.63085067684774,-4.905893303086454
116,116,PARANÁ,CAMPO MOURAO,-52.27157688438734,-24.05103610417583
117,117,SANTA CATARINA,CAMPOS DE LAGES,-50.17790138551363,-27.901951544957978
118,118,SAO PAULO,CAMPOS DO JORDAO,-45.73581375893063,-22.80351507165815
119,119,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,-41.34506472280098,-21.64060869270605
120,120,MATO GROSSO,CANARANA,-52.77476831121719,-14.062588726876465
121,121,CEARÁ,CANINDE,-39.37367505585874,-4.389573335963826
122,122,SANTA CATARINA,CANOINHAS,-50.35562842695899,-26.359836515626288
123,123,RIO DE JANEIRO,CANTAGALO-CORDEIRO,-42.41523119509501,-21.895768550639854
124,124,PARANÁ,CAPANEMA,-53.614127620324275,-25.767349403755308
125,125,MINAS GERAIS,CAPELINHA,-42.611165864117105,-17.369375464607412
126,126,SAO PAULO,CAPAO BONITO,-48.825531844066035,-24.43668210735732
127,127,RORAIMA,CARACARAI,-61.04702873679261,1.9875345494297705
128,128,SAO PAULO,CARAGUATATUBA,-45.360548538780925,-23.701740001464486
129,129,MINAS GERAIS,CARATINGA,-42.11873337684988,-19.545712717371433
130,130,RIO GRANDE DO SUL,CARAZINHO,-53.044189183491106,-27.94911382603177
131,131,SERGIPE,CARIRA,-37.57890372648152,-10.490018325317823
132,132,CEARÁ,CARIRI,-39.389542715426934,-7.281381914611049
